ts_code,close
000001.SZ,0.0159999999999974
000002.SZ,-0.10500000000000133
000004.SZ,0.10799999999999887
000006.SZ,0.13099999999999876
000007.SZ,-0.12600000000000072
000008.SZ,-0.0350000000000001
000009.SZ,-0.02200000000000078
000010.SZ,-0.049000000000000606
000011.SZ,-0.05100000000000231
000012.SZ,-0.04200000000000041
000014.SZ,-0.0560000000000011
000016.SZ,0.16499999999999881
000017.SZ,-0.05300000000000033
000019.SZ,-0.07600000000000035
000020.SZ,-0.0030000000000007824
000021.SZ,0.3039999999999978
000025.SZ,-0.10600000000000144
000026.SZ,-0.06000000000000162
000027.SZ,-0.023000000000000128
000028.SZ,-0.024000000000002495
000029.SZ,-0.06300000000000322
000030.SZ,-0.02700000000000086
000031.SZ,-0.1510000000000002
000032.SZ,0.26699999999999846
000034.SZ,0.676999999999994
000035.SZ,-0.03000000000000045
000036.SZ,-0.08800000000000105
000037.SZ,-0.15600000000000078
000039.SZ,-0.023000000000001106
000040.SZ,-0.017000000000000147
000042.SZ,-0.06500000000000115
000045.SZ,-0.0010000000000021155
000048.SZ,0.04999999999999868
000049.SZ,0.06399999999999863
000050.SZ,0.05199999999999867
000055.SZ,-0.03900000000000013
000056.SZ,0.05999999999999916
000058.SZ,-0.11300000000000154
000059.SZ,-0.021000000000000737
000060.SZ,-0.026000000000000797
000061.SZ,-0.07000000000000044
000062.SZ,0.023999999999996975
000063.SZ,1.6699999999999977
000065.SZ,-0.02100000000000241
000066.SZ,0.1589999999999968
000068.SZ,-0.0650000000000001
000069.SZ,-0.012000000000000406
000070.SZ,0.02299999999999939
000078.SZ,-0.03600000000000081
000088.SZ,-0.03400000000000054
000089.SZ,-0.025000000000001403
000090.SZ,-0.03699999999999997
000096.SZ,-0.16799999999999993
000099.SZ,-0.15099999999999966
000100.SZ,0.03599999999999906
000151.SZ,-0.19100000000000247
000153.SZ,-0.044000000000000546
000155.SZ,-0.10800000000000157
000156.SZ,-0.08100000000000143
000157.SZ,-0.016000000000001045
000158.SZ,-0.32700000000000407
000159.SZ,-0.48400000000000104
000166.SZ,0.005999999999999602
000301.SZ,-0.14400000000000196
000333.SZ,0.23299999999998713
000338.SZ,0.016999999999999287
000400.SZ,0.2189999999999969
000401.SZ,-0.05700000000000071
000402.SZ,-0.03400000000000023
000403.SZ,-0.019000000000000253
000404.SZ,-0.04100000000000106
000407.SZ,-0.04900000000000043
000408.SZ,-0.012000000000005612
000409.SZ,-0.012000000000000788
000410.SZ,-0.02000000000000057
000411.SZ,-0.11100000000000113
000415.SZ,-0.027000000000000166
